mac;time;vlx
40:22:D8:F1:E3:70;2025/07/15 11:44:19;316.00
40:22:D8:F1:E3:70;2025/07/15 12:14:21;317.00
40:22:D8:F1:E3:70;2025/07/15 12:44:22;326.00
40:22:D8:F1:E3:70;2025/07/15 13:14:24;315.00
40:22:D8:F1:E3:70;2025/07/15 13:44:26;316.00
40:22:D8:F1:E3:70;2025/07/15 14:14:27;308.00
40:22:D8:F1:E3:70;2025/07/15 14:44:29;309.00
40:22:D8:F1:E3:70;2025/07/15 15:14:30;309.00
40:22:D8:F1:E3:70;2025/07/15 15:44:32;310.00
40:22:D8:F1:E3:70;2025/07/15 16:14:33;316.00
40:22:D8:F1:E3:70;2025/07/15 16:44:35;316.00
40:22:D8:F1:E3:70;2025/07/15 17:14:36;312.00
40:22:D8:F1:E3:70;2025/07/15 17:44:38;309.00
40:22:D8:F1:E3:70;2025/07/15 18:14:40;311.00
40:22:D8:F1:E3:70;2025/07/15 18:44:41;355.00
40:22:D8:F1:E3:70;2025/07/15 19:14:43;367.00
40:22:D8:F1:E3:70;2025/07/15 19:44:44;362.00
40:22:D8:F1:E3:70;2025/07/15 20:14:46;382.00
40:22:D8:F1:E3:70;2025/07/15 20:44:47;394.00
40:22:D8:F1:E3:70;2025/07/15 21:14:49;398.00
40:22:D8:F1:E3:70;2025/07/15 21:44:50;399.00
40:22:D8:F1:E3:70;2025/07/15 22:14:52;390.00
40:22:D8:F1:E3:70;2025/07/15 22:44:53;398.00
40:22:D8:F1:E3:70;2025/07/15 23:14:55;399.00
40:22:D8:F1:E3:70;2025/07/15 23:44:57;397.00
40:22:D8:F1:E3:70;2025/07/16 00:14:58;396.00
40:22:D8:F1:E3:70;2025/07/16 00:45:00;399.00
40:22:D8:F1:E3:70;2025/07/16 01:15:01;405.00
40:22:D8:F1:E3:70;2025/07/16 01:45:03;400.00
40:22:D8:F1:E3:70;2025/07/16 02:15:04;407.00
40:22:D8:F1:E3:70;2025/07/16 02:45:06;418.00
40:22:D8:F1:E3:70;2025/07/16 03:15:07;427.00
40:22:D8:F1:E3:70;2025/07/16 03:45:09;420.00
40:22:D8:F1:E3:70;2025/07/16 04:15:11;419.00
