mac;time;moisture;temperature
B8:D6:1A:60:94:84;2000-01-01 00:00:12;46.9;29.2
B8:D6:1A:60:94:84;2000-01-01 00:00:12;27.7;29.4
B8:D6:1A:60:94:84;2000-01-01 00:30:13;52.0;29.1
B8:D6:1A:60:94:84;2000-01-01 01:00:15;31.4;36.2
B8:D6:1A:60:94:84;2000-01-01 01:30:17;33.6;33.2
B8:D6:1A:60:94:84;2000-01-01 02:00:18;33.9;33.9
B8:D6:1A:60:94:84;2000-01-01 02:30:20;31.3;34.9
B8:D6:1A:60:94:84;2000-01-01 03:00:21;29.7;35.4
B8:D6:1A:60:94:84;2000-01-01 03:30:23;27.7;35.9
B8:D6:1A:60:94:84;2000-01-01 04:00:24;25.7;36.0
B8:D6:1A:60:94:84;2000-01-01 04:30:26;26.3;36.4
B8:D6:1A:60:94:84;2000-01-01 05:00:27;25.9;36.9
B8:D6:1A:60:94:84;2000-01-01 05:30:29;27.0;36.8
B8:D6:1A:60:94:84;2000-01-01 06:00:31;26.0;36.3
B8:D6:1A:60:94:84;2000-01-01 06:30:32;26.1;36.8
B8:D6:1A:60:94:84;2000-01-01 07:00:34;25.0;36.8
B8:D6:1A:60:94:84;2000-01-01 07:30:35;24.5;36.9
B8:D6:1A:60:94:84;2000-01-01 08:00:37;24.4;36.6
B8:D6:1A:60:94:84;2000-01-01 08:30:38;25.0;36.1
B8:D6:1A:60:94:84;2000-01-01 09:00:40;24.9;35.4
B8:D6:1A:60:94:84;2000-01-01 09:30:41;25.9;34.5
B8:D6:1A:60:94:84;2000-01-01 10:00:43;28.5;33.0
B8:D6:1A:60:94:84;2000-01-01 10:30:45;29.1;32.0
B8:D6:1A:60:94:84;2000-01-01 11:00:46;32.1;30.4
B8:D6:1A:60:94:84;2000-01-01 11:30:48;33.3;30.1
B8:D6:1A:60:94:84;2000-01-01 12:00:49;34.8;29.8
B8:D6:1A:60:94:84;2000-01-01 12:30:51;34.9;30.1
B8:D6:1A:60:94:84;2000-01-01 13:00:52;35.2;30.0
B8:D6:1A:60:94:84;2000-01-01 13:30:54;34.8;30.8
B8:D6:1A:60:94:84;2000-01-01 14:00:55;34.9;30.8
B8:D6:1A:60:94:84;2000-01-01 14:30:57;35.1;31.0
B8:D6:1A:60:94:84;2000-01-01 15:00:58;35.6;31.0
