time,n_points,vlx_mm_med,vlx_mm_mean,vlx_mm_std,net_diff_mm,max_drop_mm,max_rise_mm,net_delta_kg
2025-07-15 00:00:00+02:00,24,335.5,349.1363636363636,39.61276304009848,,-6.0,44.0,0.0
2025-07-16 00:00:00+02:00,48,236.5,269.7708333333333,132.45316146574046,-145.0,-341.0,76.0,0.0
2025-07-17 00:00:00+02:00,48,302.5,295.8541666666667,36.22740797590242,113.0,-6.0,24.0,0.0
2025-07-18 00:00:00+02:00,48,366.0,357.5833333333333,29.05155603064005,22.0,-95.0,16.0,0.0
2025-07-19 00:00:00+02:00,48,382.5,366.5,33.84319284771551,2.0,-101.0,21.0,0.0
2025-07-20 00:00:00+02:00,48,378.5,374.2708333333333,48.53326982742708,-5.0,-150.0,25.0,0.0
2025-07-21 00:00:00+02:00,48,370.5,357.4583333333333,38.94183241780921,-4.0,-103.0,23.0,0.0
2025-07-22 00:00:00+02:00,48,283.5,266.9166666666667,119.7516638419183,-86.0,-318.0,27.0,0.0
2025-07-23 00:00:00+02:00,48,309.5,305.2291666666667,15.896258871171241,15.0,-72.0,20.0,0.0
2025-07-24 00:00:00+02:00,48,309.5,313.8333333333333,16.84261734010622,-14.0,-54.0,20.0,0.0
2025-07-25 00:00:00+02:00,48,313.5,327.1458333333333,29.882742179088012,58.0,-102.0,18.0,0.0
2025-07-26 00:00:00+02:00,48,307.0,340.1875,44.711679777331504,-65.0,-125.0,12.0,0.0
2025-07-27 00:00:00+02:00,48,308.5,307.7916666666667,4.681145219641871,12.0,-6.0,5.0,0.0
2025-07-28 00:00:00+02:00,47,310.0,315.531914893617,20.57526064479612,41.0,-55.0,22.0,0.0
2025-07-29 00:00:00+02:00,48,330.0,348.4166666666667,44.2525793614547,-26.0,-144.0,17.0,0.0
2025-07-30 00:00:00+02:00,49,310.0,319.9591836734694,24.234066228893457,-28.0,-71.0,21.0,0.0
2025-07-31 00:00:00+02:00,48,305.0,307.1666666666667,6.7424767636085585,-4.0,-16.0,12.0,0.0
2025-08-01 00:00:00+02:00,48,173.5,200.0,72.6867367690121,-99.0,-188.0,29.0,0.0
2025-08-02 00:00:00+02:00,48,230.0,225.4375,72.35488962877001,160.0,-123.0,27.0,0.0
2025-08-03 00:00:00+02:00,48,297.0,281.875,116.75736342900866,-55.0,-350.0,39.0,0.0
2025-08-04 00:00:00+02:00,48,191.5,228.875,92.84845236396232,-105.0,-255.0,31.0,0.0
2025-08-05 00:00:00+02:00,48,147.0,173.33333333333334,41.282283734728274,-5.0,-98.0,29.0,0.0
2025-08-06 00:00:00+02:00,26,234.5,216.83333333333334,54.385633226517434,,-167.0,23.0,0.0
